Test Case ID,Description,Pre-conditions,Steps Taken,Expected Output,,Actual Output,Comments,Tester,Date Tested,Version
t1.4.9,Change Password – Invalid OTP,"1. User has received OTP input prompt.
2. User is on the OTP Verification Screen.","1. Enter an invalid or expired OTP.
2. Click CONTINUE.","1. Error message is displayed:
“OTP is either Invalid or has expired, Please try again.”

2. User remains on OTP entry screen.",,,manually tested to avoid rate limit,Peach,9/12/26,
t1.4.10,Change Password – Leave OTP Blank,"1. User has received OTP input prompt.
2. User is on the OTP Verification Screen.","1. Leave the OTP field blank.
2. Click CONTINUE.","1. The CONTINUE button should still be disabled.
2. User remains on OTP entry screen.",,,manually tested to avoid rate limit,Peach,9/12/26,
t1.4.11,Change Password – User cannot request a new OTP before the 1-minute cooldown period has passed,"1. The Teller App is launched.
2. The user is on the OTP verification screen for change password.
3. The 1-minute cooldown has not yet elapsed.","1. Find and click the ""Resend code"" link.","1. The ""Request a new OTP"" is not yet displayed
2. No new OTP should be generated or sent.
3. The countdown timer should continue until the full 1-minute duration completes.",,,manually tested to avoid rate limit,Peach,9/12/26,
t1.4.12,Change Password – User can request a new OTP after the cooldown,"1. The Teller App is launched.
2. The user is on the OTP verification screen for change password.
3. The previous OTP has expired or the 1-minute cooldown has completed.","1. Click the ""Resend code"" link.
2. Check the registered email for a new OTP.
3. Enter the newly received OTP.
4. Click on CONTINUE button.","1. The user receives the new OTP via email.
2. A modal is displayed with the message:
""Password has been changed successfully.""",,,manually tested to avoid rate limit,Peach,4/23/26,
t1.4.13,Change Password – Previously received OTP is no longer valid after requesting a new OTP,"1. The Teller App is launched.
2. The user is on the OTP verification screen for change password.
","1. Click the ""Resend code"" link.
2. Attempt to enter the previously received OTP.
3. Observe system behavior.
4. Repeat with further OTP resend attempts.","1. System displays:
""OTP is either invalid or has expired, Please try again or request a new OTP.""

2. All previously sent OTPs are invalidated once a new OTP is generated.",,,,Peach,9/12/26,
t1.4.14,Change Password – Validation on the 5th failed OTP attempt (maximum allowed attempts),"1. The Teller App is launched.
2. The user is on the OTP verification screen for change password.
3. System allows a max of 5 OTP input attempts per session.","1. Enter invalid OTP 4 times.
2. On the 5th attempt, enter another invalid OTP.
3. Observe system response.
4. Click ""CONFIRM"".","1. After the 5th failed attempt, system shows:
“Verification Failed: You have reached the maximum number of attempts. For your security, we’re redirecting you to the previous page.”

2. User is redirected back to the Change Password page.",,,,Peach,9/12/26,
t1.4.15,Change Password – Validation on 5th OTP attempt across multiple resend requests,"1. The Teller App is launched.
2. The user is on the OTP verification screen for change password.
3. System allows a max of 5 OTP input attempts per session.","1. Enter 2 invalid OTPs.
2. Click the ""Request a new OTP"" link.
3. Enter 2 more invalid OTPs.
4. Click the ""Request a new OTP"" link again.
5. Enter a 5th invalid OTP.
6. Observe system response.
7. Click ""CONFIRM"".","1. After the 5th failed attempt, system shows:
“Verification Failed
You have reached the maximum number of attempts. For your security, we're redirecting you to the previous page.""

2. User is redirected back to the Change Password page.",,,,Peach,9/12/26,
t1.4.16,Change Password – Behavior when OTP session expires before reaching max attempts,"1. The Teller App is launched.
2. The user is on the OTP verification screen for chnage password.
3. The OTP session timeout is set (e.g., 5 minutes).","1. Enter invalid OTP 3 times within the active session.
2. Wait for OTP session to expire (e.g., after 5 minutes).
3. Attempt to enter another OTP (4th attempt) regardless of validity.
4. Click the ""Request a new OTP"" link.
5. Click ""CONFIRM"".","1. On 4th input after session expiry, system shows:
“OTP is either invalid or has expired. Please try again or request a new OTP.”

2. After clicking ""Resend code"" , system shows:
“Your one-time password has expired. Request a new code to continue.

3. Clicking ""Request New Code"" redirects user back to the  Change Password page.",,,manually tested since it takes 5 mins and needs the real OTP,Peach,9/12/26,
t1.4.17,Change Password - Verify that the user's email is blocked for 60 minutes after 3 unverified Change Password OTP sessions with 5 invalid attempts per session,"1.User is registered.
2. Email is not currently blocked.
","1. Initiate Change Password Session #1
 - Enter 5 incorrect OTP(s)
2. Initiate Change Password Session #2
 - Enter 5 incorrect OTP(s)
3. Initiate Change Password Session #3
 - Enter 5 incorrect OTP(s)

4. Attempt to initiate Change Password Session #4
5. Click ""CONFIRM""","1. After the 3rd unverified OTP session, if all 3 occurred within 15 minutes, the system blocks the user's email for 60 minutes.

2. After the 3rd unverified session, an error message is displayed:
""You have exceeded the maximum number of OTP attempts. You can try again in 59 mins.""

3. Any attempt in changing the password page during the block period should return an error message:

""You have exceeded the maximum number of OTP attempts. You can try again in <time remaining> minutes.""

4. Clicking ""CONFIRM"" will close the modal and user is still on the Change Password page

5. Email sent to the costomer.
Subject: Security Notice: Unusual Activity Detected on Your Account

Body:
Hi <Teller Name>,

We noticed several attempts to access your account that exceeded our security limits. To help keep your account safe, we’ve temporarily locked it as a precaution.

If these attempts were made by you, no further action is needed. You can try signing in again after the cooldown period. If you need immediate access, please contact <replace customer support email> for assistance with resetting your account.",,,,Peach,9/16/26,
t1.4.18,Change Password- Verify that the user's email is blocked for 60 minutes after 3 unverified Change Password OTP sessions (abandoned sessions),"1.User is registered.
2. Email is not currently blocked.
","1. Initiate Change Password Session #1
 - Leave the OTP input field blank
 - Cancel the OTP verification and go back to home page.

2. Initiate Change Password Session #2
 - Leave the OTP input field blank
 - Cancel the OTP verification and go back to home page.

3. Initiate Change Password Session #3
 - Leave the OTP input field blank
 - Cancel the OTP verification and go back to home page.

4. Attempt to initiate Change Password Session #4","1. After the 3rd unverified OTP session, if all 3 occurred within 15 minutes, the system blocks the user's email for 60 minutes.

2. After the 3rd unverified session, an error message is displayed:
""You have exceeded the maximum number of OTP attempts. You can try again in 59 mins.""

3. Any attempt in changing the password page during the block period should return an error message:

""You have exceeded the maximum number of OTP attempts. You can try again in <time remaining> minutes.""

4. Clicking ""CONFIRM"" will close the modal and user is still on the Change Password page

5. Email sent to the costomer.
Subject: Security Notice: Unusual Activity Detected on Your Account

Body:
Hi <Teller Name>,

We noticed several attempts to access your account that exceeded our security limits. To help keep your account safe, we’ve temporarily locked it as a precaution.

If these attempts were made by you, no further action is needed. You can try signing in again after the cooldown period. If you need immediate access, please contact <replace customer support email> for assistance with resetting your account.",,,,Peach,9/16/26,
t1.4.19,Change Password - Verify that a user receives a blocking error message when trying to reset password through Change Password process with an email address that is currently blocked.,1. The user's email has been blocked due to failed OTP attempts ,"1. During the 60-minute blocking period, attempt to reset password using the blocked email address multiple times.
2. Observe the system’s response.","1. System does not proceed with OTP generation.

2. A clear error message is displayed indicating the email is blocked:

""You have exceeded the maximum number of OTP attempts. You can try again in <time remaining> minutes.""

3. Each time the user attempts to initiate Change password while the email is still blocked, the system displays the same error message, with the remaining block time updated accordingly.",,,,Peach,9/16/26,
t1.4.20,Change Password - Verify that a user can reset password successfully through Change password  with a valid OTP after the 60-minute block period has expired.,1. The user's email was blocked and 60 minutes have passed.,"1. Wait until 60 minutes have passed since the block was applied.
2. Attempt to initiate Change Password using the same email.
3. Enter the correct OTP.","1.Change password process resumes normally.
2. OTP is sent and validated successfully.
3. Password update is successful..",,,,Peach,4/23/26,
t1.4.21,Change Password - Verify that the system does not block the user if they input a valid OTP on the 5th attempt during the 3rd Change Password OTP  session,"1. User is registered.
2. Two previous Change password sessions have already occurred, both unverified and/or expired.
5. Each session allows up to 5 OTP attempts.","1. Initiate Change password Session #3
2. Enter 4 incorrect OTPs.
3. On the 5th attempt, enter the correct OTP.
4. Observe the outcome of the session.
5. Attempt to initiate Change password Session #4.","1. Session #3 is considered verified.
2. Blocking is not triggered (since only 2 sessions were unverified in last 10 minutes).
3. Session #4 starts normally.
4. User is not blocked.",,,,Peach,9/16/26,
t1.4.22,Change Password - Verify that the system does not block the user if the 3 unverified Change Password OTP sessions span more than 15 minutes,"1.User is registered.
2. Email is not currently blocked.
3. Blocking occurs only after 3 unverified sessions within 10 minutes.","1. Start Session #1
 - Time: 00:00:00
 - Enter 2 incorrect OTPs then exit
 - Ends at: 00:05:00 min

2. Start  Session #2
 - Time: 00:05:00 min
 - Request OTP.
 - Enter 2 incorrect OTPs then exit
 - Ends at: 00:10:00 min

3. Wait for 5 mins
 - Time: 00:10:00 min
 - Ends at 00:15:00 min

4. Start Session #3
- Time: 00:16:00 min
- Enter incorrect OTPs then exit.
- Ends at: 00:20:00 mins

5. Start Session #4
 - Time: 00:20:00 or 00:21:00  min
 - Attempt to initiate Change Password session using the same email.","1. The system does not block the user.

2. The system evaluates the previous sessions:

 - Session #1: ended at 00:05

 - Session #3: started at 00:16 → more than 15 minutes since #1 ended

Therefore, the 3 unverified sessions do not fall within a 15-minute window.

3. Session #4 is allowed.

4. OTP is sent normally.

5. No blocking error is shown.",,,,Peach,4/23/26,
t2.1 View the list of Customers,,,,,,,,,,
t2.1.1,Initial Load and View of Customer List,"1. The user must be authenticated and logged into the Teller App. 
2. The user must have permission to view the list of account holders.","1. Log in to the Teller App. 
2. Select the “Customer"" module option from the side menu.
3. Verify that the following columns are present and visible: Customer ID, Customer Name, Birthdate, Created on, Last updated, Customer Status, and an ""Action"" column containing two distinct buttons/links: View Profile, and View Accounts.","1. System navigates to the Customers page.
2. Verify page title or URL corresponds to Customers.
3. The system successfully displays the Customer List View. 
4. The following columns are present and visible: Customer ID, Customer Name, Date of Birth, Created on, Last updated, Customer Status, and an ""Action"" column containing two distinct buttons/links: View Profile, and View Accounts",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/10/26,
t2.1.2,Pagination and Navigation,"1. The user is logged into the Teller App. 
2. The ""Customer"" module contains a list of account holders that spans multiple pages (paginated data). 3. The current view is on the first page.","1. Navigate to the ""Customer” module. 
2. Scroll to the bottom and locate the pagination controls (e.g., 1, 2, 3... Next, Back). 
3. Click the Next button. 
4. Click page number 3. 
5. Click the Back button.","1. Next Click: The system loads and displays the data from the second page. 
2. Page Number Click: The system immediately loads and displays the data from page 3. 
3. Back Click: The system loads and displays the data from page 2. 
4. Verify data integrity across pages (no duplication/missing records). 
5. The current page is clearly indicated in the UI.",,run manually,rerun was made because of locator issue,Peach,9/10/26,
t2.1.3,Search for valid Customer ID,"1. The user is logged into the Teller App and has access to the “Customers” module. 
2. A known valid Customer ID and Customer Name exist in the system.","1. Navigate to the “Customers” module. 
2. Locate the Search input field. 
3. Input valid Customer ID into the search field and click the Search icon. 
4. Click the Clear Search button/icon. 
5. Verify that the search results maintain all required columns (ID, Name, DOB, Status, etc.).","1. The list displays exactly one record
2. Search results maintain all required columns (Customer ID, Customer Name, Birthdate, Created on, Last updated, Customer Status, and an ""Action"" column containing two distinct buttons/links: View Profile, and View Accounts)",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/10/26,
t2.1.4,Search for valid Customer Name,"1. The user is logged into the Teller App and has access to the “Customers” module. 
2. A known valid Customer ID and Customer Name exist in the system.","1. Navigate to the “Customers” module. 
2. Locate the Search input field. 
3. Input valid Customer Name into the search field and click the Search icon. 
4. Click the Clear Search button/icon. 
5. Verify that the search results maintain all required columns (ID, Name, DOB, Status, etc.).","1. The system displays all customer records where the name matches or partially matches the name. 
2. Search results maintain all required columns (Customer ID, Customer Name, Birthdate, Created on, Last updated, Customer Status, and an ""Action"" column containing two distinct buttons/links: View Profile, and View Accounts)",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/10/26,
t2.1.5,Search for Non-Existing Customer,1. The user is logged into the Teller App and is on the “Customers” module page.,"1. Navigate to the “Customers” module. 
2. Locate the Search input field. 3
. Enter a non-existing value into the search field. 
4. Click the Search icon.","1. The system displays a dedicated message in the list area, such as “No Data” 
2. The customer list table is empty, with no rows displayed. 
3. Verify no application errors (e.g., HTTP 500) or crashes occur.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/10/26,
t2.1.6,Filter Customer List by Status: Active,1. User is logged in and has access to the Customer module. 2. Customers with 'Active' status exist.,"1. Navigate to the Customer module. 
2. Click the Customer Status filter dropdown. 
3. Select the Active option from the list
4. Verify that no customers with other statuses are displayed in the results table","1. The customer list updates immediately to display only records where Customer Status is Active. 
2. No customers with other statuses (Inactive, Dormant, etc.) are displayed in the results table.
3. If there are no existing customers with the Active status, the system displays ""No Data"". ",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/10/26,
t2.1.7,Filter Customer List by Status: Inactive,"1. User is logged in and has access to the Customer module. 
2. Customers with 'Inactive' status exist.","1. Navigate to the Customer module. 
2. Click the Customer Status filter dropdown. 
3. Select the Inactive option from the list.
4. Verify that no customers with other statuses are displayed in the results table","1. The customer list updates immediately to display only records where Customer Status is Inactive. 
2. No customers with other statuses are displayed in the results table.
3. If there are no existing customers with the Inactive status, the system displays ""No Data"". ",,,retested since requirement changed and now applied,Peach,9/10/26,
t2.1.8,Filter Customer List by Status: Restricted,"1. User is logged in and has access to the Customer module. 
2. Customers with 'Restricted' status exist.","1. Navigate to the Customer module. 
2. Click the Customer Status filter dropdown. 
3. Select the Restricted option from the list.
4. Verify that no customers with other statuses are displayed in the results table","1. The customer list updates immediately to display only records where Customer Status is Restricted. 
2. No customers with other statuses are displayed in the results table.
3. If there are no existing customers with the Restricted status, the system displays ""No Data"". ",,,retested since requirement changed and now applied,Peach,9/10/26,
t2.1.9,Filter Customer List by Status: Suspended,"1. User is logged in and has access to the Customer module. 
2. Customers with 'Suspended' status exist.","1. Navigate to the Customer module. 
2. Click the Customer Status filter dropdown. 
3. Select the Suspended option from the list.
4. Verify that no customers with other statuses are displayed in the results table","1. The customer list updates immediately to display only records where Customer Status is Suspended. 
2. No customers with other statuses are displayed in the results table.
3. If there are no existing customers with the Suspended status, the system displays ""No Data"". ",,,retested since requirement changed and now applied,Peach,9/10/26,
t2.1.10,Filter Customer List by Status: Closed,"1. User is logged in and has access to the Customer module. 
2. Customers with 'Closed' status exist.","1. Navigate to the Customer module. 
2. Click the Customer Status filter dropdown. 
3. Select the Closed option from the list.
4. Verify that no customers with other statuses are displayed in the results table","1. The customer list updates immediately to display only records where Customer Status is Closed. 
2. No customers with other statuses are displayed in the results table.
3. If there are no existing customers with the Closed status, the system displays ""No Data"". ",,,retested since requirement changed and now applied,Peach,9/10/26,
t2.1.11,Filter Customer List by Status: Deceased,"1. User is logged in and has access to the Customer module. 
2. Customers with 'Deceased' status exist.","1. Navigate to the Customer module. 
2. Click the Customer Status filter dropdown. 
3. Select the Deceased option from the list.
4. Verify that no customers with other statuses are displayed in the results table","1. The customer list updates immediately to display only records where Customer Status is Deceased. 
2. No customers with other statuses are displayed in the results table.
3. If there are no existing customers with the Deceased status, the system displays ""No Data"". ",,,retested since requirement changed and now applied,Peach,9/10/26,
t2.1.12,Customer Profile View (Details Verification),1. User successfully logged into the Teller App. 2. A known customer record exists.,"1. Select Customer module. 
2. Locate an existing customer record. 
3. Click the ""View Profile"" action link/button for that customer.
","1. The system successfully displays the customer's full profile page. 
2. Verify the presence of the following four distinct section headers: Banking Details, Customer Details, Identification, Employment History and Identity Verification Details
3. Verify the presence and correctness of all fields under the Banking details section: DFSP Institution ID,Customer ID,Identity,
4. Verify the presence and correctness of all fields under the Customer Details section: Email Address, Gender, Date of Birth, Nationality, Complete Address, Mobile Number, Civil Status, Country of Birth, TIN. 
5. Verify the presence and correctness of all fields under the Identification section: ID Type, ID Number, Expiry Date. 
6. Verify the presence and correctness of all fields under the Employment History section: Employer, Employer Industry, Job Title, Monthly Income.
7. Verify the presence and correctness of all fields under the Identity Verification Details section, including the customer’s Selfie, ID (Front), and ID (Back). If ID (Back) is not available, a “No data available” message should be displayed.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/10/26,
t2.2 View the list of Bank Accounts under a Customer,,,,,,,,,,
t2.2.1,Customer Accounts List View,"1. User successfully logged into the Teller App. 
2. The selected customer has at least one associated account.","1. Select the ""Customer"" module from the sidebar or menu. 
2. Locate the target customer record. 
3. Click the ""View Accounts"" action link/button for that customer.","1. The system loads and displays the list of accounts in a table or list format. 
2. Verify the presence of columns: Account No, Account Name, Balance, Account Status, Created On, Action
3. Verify the presence of an Action column containing the ""View Account Transactions"" button/link for each account row.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/10/26,
t2.2.2,Account List Pagination and Navigation,"1. User is on the 'View Accounts' page for a customer. 
2. The account list spans multiple pages (paginated data).","1. Locate the pagination controls (e.g., 1, 2, 3... Next, Back). 
2. Click the Next button. 
3. Click page number 3. 
4. Click the Back button.","1. Next Click: The system loads and displays the data from the second page. 
2. Page Number Click: The system immediately loads and displays the data from page 3. 
3. Back Click: The system loads and displays the data from page 2. 
4. Verify data integrity across pages (no duplication/missing records). 
5. The current page is clearly indicated in the UI.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/10/26,
t2.2.3,Search for valid Account ID,"1. The user is logged into the Teller App and has access to the “Customers” module.
2. The user has navigated to the “View Accounts” page for a selected customer.","1. Locate the Search input field. 
2. Input valid Account ID  and click the Search icon. 
3. Verify that the search results maintain all required columns (Account No,Account Name,Balance, Account Status Created on, Action.).","1. The list displays exactly one record
2. Search results maintain all required columns (Account No,Account Name,Balance, Account Status Created on, Action.)",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/10/26,
t2.2.4,Search for valid Account Name,"1. The user is logged into the Teller App and has access to the “Customers” module.
2. The user has navigated to the “View Accounts” page for a selected customer.","1. Locate the Search input field. 
2. Input valid Account number and click the Search icon. 
3. Verify that the search results maintain all required columns (Account No,Account Name,Balance, Account Status Created on, Action.).","1. The system displays all customer records where the name matches or partially matches the name. 
2. Search results maintain all required columns (Account No,Account Name,Balance, Account Status Created on, Action.)",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/10/26,
t2.2.5,Search for Non-Existing Account ,1. User is on the 'View Accounts' page for a customer.,"1. Locate the Search input field. 
2. Enter a non-existing value (e.g., NonExistentAcc) into the search field. 
3. Click the Search icon.","1. The system displays a dedicated message in the list area, such as “No Data” 
2. The account list table is empty, with no rows displayed. 
3. Verify no application errors or crashes occur.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/10/26,
t2.2.6,Filter Account List by Status: Active,"1. User is on the 'View Accounts' page for a customer. 
2. Accounts with 'Active' status exist.","1. Click the Account Status filter dropdown. 
2. Select the Active option from the list.","1. The account list updates immediately to display only records where Account Status is Active. 
2. Verify that no accounts with other statuses are displayed.
3. If there are no existing accounts with the Active status, the system displays ""No Data"". ",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/10/26,
t2.2.7,Filter Account List by Status: Inactive,"1. User is on the 'View Accounts' page for a customer. 
2. Accounts with 'Inactive' status exist.","1. Click the Account Status filter dropdown. 
2. Select the Inactive option from the list.","1. The account list updates immediately to display only records where Account Status is Inactive. 
2. Verify that no accounts with other statuses are displayed.
3. If there are no existing accounts with the Inactive status, the system displays ""No Data"". ",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/10/26,
t2.2.8,Filter Account List by Status: Dormant,"1. User is on the 'View Accounts' page for a customer. 
2. Accounts with 'Dormant' status exist.","1. Click the Account Status filter dropdown. 
2. Select the Dormant option from the list.","1. The account list updates immediately to display only records where Account Status is Dormant. 
2. Verify that no accounts with other statuses are displayed.
3. If there are no existing accounts with the Dormant status, the system displays ""No Data"". ",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/10/26,
t2.2.9,Filter Account List by Status: Frozen,"1. User is on the 'View Accounts' page for a customer. 
2. Accounts with 'Frozen' status exist.","1. Click the Account Status filter dropdown. 
2. Select the Frozen option from the list.","1. The account list updates immediately to display only records where Account Status is Frozen. 
2. Verify that no accounts with other statuses are displayed.
3. If there are no existing accounts with the Frozen status, the system displays ""No Data"". ",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/10/26,
t2.2.10,Filter Account List by Status: Closed,"1. User is on the 'View Accounts' page for a customer. 
2. Accounts with 'Closed' status exist.","1. Click the Account Status filter dropdown. 
2. Select the Closed option from the list.","1. The account list updates immediately to display only records where Account Status is Closed. 
2. Verify that no accounts with other statuses are displayed.
3. If there are no existing accounts with the Closed status, the system displays ""No Data"". ",,https://pvillados-nmblr.github.io/teller-automation/reports/rural-bank-san-antonio/t2.2/log.html#s1-t13,,Peach,4/21/26,
t2.2.11,Filter Account List by Status: Overdrawn,"1. User is on the 'View Accounts' page for a customer. 
2. Accounts with 'Overdrawn' status exist.","1. Click the Account Status filter dropdown.
 2. Select the Overdrawn option from the list.","1. The account list updates immediately to display only records where Account Status is Overdrawn. 
2. Verify that no accounts with other statuses are displayed.
3. If there are no existing accounts with the Overdrawn status, the system displays ""No Data"". ",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/10/26,
t2.2.12,Filter Account List by Status: Blocked,"1. User is on the 'View Accounts' page for a customer. 
2. Accounts with 'Blocked' status exist.","1. Click the Account Status filter dropdown. 
2. Select the Blocked option from the list.","1. The account list updates immediately to display only records where Account Status is Blocked. 
2. Verify that no accounts with other statuses are displayed.
3. If there are no existing accounts with the Blocked status, the system displays ""No Data"". ",,https://pvillados-nmblr.github.io/teller-automation/reports/rural-bank-san-antonio/t2.2/log.html#s1-t13,,Peach,4/21/26,
t2.2.13,Filter Account List by Status: Suspended,"1. User is on the 'View Accounts' page for a customer. 
2. Accounts with 'Suspended' status exist.","1. Click the Account Status filter dropdown. 
2. Select the Suspended option from the list.","1. The account list updates immediately to display only records where Account Status is Suspended. 
2. Verify that no accounts with other statuses are displayed.
3. If there are no existing accounts with the Suspended status, the system displays ""No Data"". ",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,rerun was done after rate limit was cleared,Peach,9/10/26,
t2.2.14,Navigate Back to Customers List,"1. User is on the 'View Accounts' page for a customer. 
2. Accounts with 'Active' status exist.",1. Click the 'Customers' label/link (or back button) in the navigation breadcrumbs/UI.,"1. The user is returned to the main Customer List View.
2. The Customer List view retains its previous state (e.g., last page viewed or last filter applied).",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,rerun was done after rate limit was cleared,Peach,9/10/26,
t2.3 View the list of Transactions of a Bank Account under a Customer,,,,,,,,,,
t2.3.1,View Account Transaction History,"1. User successfully logged into the Teller App. 
2. The selected customer's account has existing transaction history.","1. Select the ""Customer"" module from the sidebar or menu. 
2. Click the ""View Accounts"" action link/button for that customer.
3. Locate the target account record. 
4. Click the “View Account Transactions” button/link in the Action column.","1. The system successfully navigates to the Transaction History page for the selected account. 
2. Verify the presence of the following columns in the transaction table: Transaction ID, Transaction Type, Date & Time, Debit Amount, Credit Amount, Status, Last Updated, and Action. 
3.. Verify the presence of actionable elements: an Eye icon (or similar button) to view detailed transaction information, and a Download button for exporting data.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,,9/11/26,
t2.3.2,Pagination in Viewing Transaction History,"1. User successfully logged into the Teller App and in the Customer module.
2. The selected customer's account has existing transaction history.","1. Scroll to the bottom and locate the pagination controls. 
2. Click the Next button. 
3. Click page number 3. 
4. Click the Back button.","1. Next Click: The system loads and displays the data from the next page. 
2. Page Number Click: The system immediately loads and displays data from the selected page (page 3). 
3. Back Click: The system loads and displays data from the previous page (page 2). 
4. Verify data integrity (no duplication/missing records). 
5. The current page is clearly indicated in the UI.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/11/26,
t2.3.3,View Specific Transaction Details,"1. User successfully logged into the Teller App and in the Customer module.
2. The selected customer's account has existing transaction history.","1. Locate a specific transaction row in the list. 
2. Click the Eye icon (View) in the Action column. 
3. Close the details modal/page.","1. A modal or new page opens displaying detailed information for the selected transaction. 
2. Verify the detail view includes: Transaction ID, Transaction Type, Transaction Amount, Service Fee, Remarks, Transaction Status, Debit Account Name/Number, Credit Account Name/Number, Credit Bank Code/Bank Name or Debit Bank Code/Bank Name (For Send Money only), Created on, Updated on, and Instapay Reference number if external transaction type. 
3. The details are accurate and correspond to the selected transaction. 
4. The user can close the details view and return to the history list without issue.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/11/26,
t2.3.4,Search by Transaction ID,"1. User successfully logged into the Teller App and in the Customer module.
2. The selected customer's account has existing transaction history.","1. Locate the search field on the Transaction History page. 
2. Enter the valid Transaction ID. 
3. Click the Search icon/button. 
4. Click the Eye icon (View) in the Action column of the resulting row.","1. The list filters and displays exactly one matching transaction. 
2. A modal or new page opens displaying detailed information for the selected transaction. 
3. Verify the detail view includes: Transaction ID, Transaction Type, Transaction Amount, Service Fee, Remarks, Transaction Status, Debit Account Name/Number, Credit Account Name/Number, Credit Bank Code/Bank Name or Debit Bank Code/Bank Name (For Send Money only), Created on, Updated on, and Instapay Reference number if external transaction type. 
4. The transaction ID in the details matches the searched ID. 
5. The user can successfully close the detail view and return to the filtered list.",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/11/26,
t2.3.5,,,,,,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/11/26,
t2.3.6,Search Transactions Using Date Range,"1. User successfully logged into the Teller App and in the Customer module.
2. The selected customer's account has existing transaction history.
3. Transactions exist across a known date range.","1. Locate the date range filter controls. 
2. Select a valid ""From"" date.
3. Select a valid ""To"" date.
4. Click the Search button. 
5. Repeat steps 2-4 with a range that yields no results.","1. Positive Search: The list updates to display only transactions occurring between the ""From"" and ""To"" dates. 
2. Verify all required columns ( Transaction ID, Transaction Type, Date & Time, Debit Amount, Credit Amount, Status, Last Updated, and Action.  ) are present in the filtered list. 
",,,"[TellerApp][Def]Date Range Filter displays ""No Data"" or partial results for existing transactions in Transaction History across Customer, Accounts, and Transactions modules- https://github.com/talino-labs/higala.project/issues/1234",Peach,9/11/26,
t2.3.7,Filter Transactions by Type: Send Money,"1. User is on the Transaction History page. 
2. Transactions of type 'Send Money' exist.","1. Click the Transaction Type filter dropdown. 
2. Select the “Send Money” type.
3. Locate a specific transaction row in the list. 
4. Click the Eye icon (View) in the Action column. ","1. The list displays transactions of type ""Send Money"" only. 
2. No transactions of other types are shown.
3. The detail view includes: Transaction ID, Transaction Type, Transaction Amount, Service Fee, Remarks, Transaction Status, Debit Account Name/Number, Credit Account Name/Number, Credit Bank Code/Bank Name or Debit Bank Code/Bank Name (For Send Money only), Created on, Updated on, and Instapay Reference number if external transaction type. 

4. If there are no existing transactions of Send Money type, the system displays ""No Data"". ",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/11/26,
t2.3.8,Filter Transactions by Type: Cash In,"1. User is on the Transaction History page. 
2. Transactions of type 'Cash In' exist.","1. Click the Transaction Type filter dropdown. 
2. Select the “Cash In” type.
3. Locate a specific transaction row in the list. 
4. Click the Eye icon (View) in the Action column. ","1. The list displays transactions of type ""Cash In"" only. 
2. No transactions of other types are shown.
3. The detail view includes: Transaction ID, Transaction Type, Transaction Amount, Service Fee, Remarks, Transaction Status, Debit Account Name/Number, Credit Account Name/Number, Credit Bank Code/Bank Name or Debit Bank Code/Bank Name (For Send Money only), Created on, Updated on, and Instapay Reference number if external transaction type. 

4. If there are no existing transactions of Cash In type, the system displays ""No Data"". ",,https://qa-jo.github.io/teller-automation/reports/2026-09_full-regression/,,Peach,9/11/26,
